"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","w_ar_pct","b_ar_pct","t_ar_pct","wt_ar_pct","bt_ar_pct","tt_ar_pct","ww_ar_pct","bb_ar_pct","ttt_ar_pct","est_tot","sir_tot","est_b","sir_b","est_w","sir_w"
"137",11500,2011,24,77,101,37,129,8534,6449,1731,0.75568315,0.202835716,76.162215628091,23.7388724035608,100,0.902262687336684,0.28122473371533,1.18348742105201,1.19396504938674,1.38640170989544,1.18348742105201,291.579345260041,0.346270662085982,0.151723553626051,95.3426870639739,0.426357601148171,146.288378532078
"138",11500,2012,36,60,96,37,129,8894,6632,1989,0.745671239,0.223633911,62.4349635796046,37.4609781477627,100,0.674604513104193,0.404762707862516,1.07936722096671,0.904690821911612,1.80986375747826,1.07936722096671,303.879387947364,0.315810886548081,0.26150423475037,99.583895676517,0.361520785633609,130.004978903881
"139",11500,2013,20,55,75,37,129,8893,6673,1875,0.750365456,0.210839987,73.2356857523302,26.6311584553928,100,0.618457005993411,0.224893456724877,0.843350462718287,0.824204642519968,1.06660978081169,0.843350462718287,303.845221162121,0.24675498997234,0.136953784397304,84.4046447743822,0.341209394469423,124.657363803734
"140",11500,2014,28,52,81,37,129,8631,6454,1808,0.747769667,0.209477465,64.1183723797781,34.5252774352651,100,0.60247245426423,0.324408244603816,0.938466707603897,0.805689406733704,1.54858691444057,0.938466707603897,294.89352342857,0.274582299497885,0.184884322220826,98.2855068391442,0.320568215530047,123.642248938056
"141",11500,2015,23,31,54,37,129,8547,6443,1614,0.753831754,0.188838189,57.3012939001848,42.5138632162662,100,0.362696119151525,0.269097120660809,0.631793239812334,0.481134857444398,1.42494269252215,0.631793239812334,292.023513468194,0.184853315499642,0.135574459444852,97.6336741011787,0.231268481555347,93.5796845339802
"142",11500,2016,23,46,69,37,129,8450,6281,1748,0.743313609,0.206863905,66.5701881331404,33.2850940665702,100,0.544372255949634,0.272186127974817,0.816558383924451,0.732355797551384,1.31571420399291,0.816558383924451,288.709335299665,0.238911944894047,0.146829634195865,93.181680047984,0.289887962851359,117.982611372737
"143",11500,2017,26,46,72,37,129,8313,6312,1669,0.759292674,0.200769879,63.8002773925104,36.0610263522885,100,0.553343518061854,0.312759379774091,0.866102897835946,0.728759050078421,1.55772572044815,0.866102897835946,284.028485721434,0.253406481990652,0.158480310382807,100.587932448294,0.290825143735025,117.699694447468
"144",11500,2018,32,49,81,37,129,8000,6031,1668,0.753875,0.2085,60.4192355117139,39.4574599260173,100,0.612492343845702,0.399995000062499,1.0124873439082,0.812455439306263,1.91835021881182,1.0124873439082,273.334281940512,0.296232057755005,0.194935828705151,108.498177859532,0.294221142879601,124.295717987315
"145",11603,2010,31,38,69,37,129,6377,4964,965,0.778422456,0.151325074,54.9927641099855,44.862518089725,100,0.595882140784996,0.486114378008813,1.08199651879381,0.765496263169557,3.21210237281111,1.08199651879381,217.88158949183,0.316540493905271,0.109258093354407,148.142418307794,0.223973257878662,117.293631730037
"146",11603,2011,11,29,40,37,129,6827,5181,1054,0.758898491,0.154386993,72.3192019950125,27.431421446384,100,0.424777724070249,0.161122584992164,0.585900309062413,0.559726698963541,1.04354425576321,0.585900309062413,233.256642850984,0.171411447779282,0.0423442169874988,77.2774632703629,0.198746990472958,97.0721075853817
"147",11603,2012,16,9,27,37,129,6893,5237,1326,0.759756274,0.19236907,33.210332103321,59.0405904059041,100,0.130565347956652,0.23211617414516,0.391696043869957,0.171850833476542,1.20654550938843,0.391696043869957,235.511650676993,0.114595351810573,0.0774846839056114,90.1486238018656,0.13097685136929,38.9649436584043
"148",11603,2013,18,72,90,37,129,6662,5086,1273,0.763434404,0.191083759,79.9112097669256,19.9778024417314,100,1.08074030711037,0.270185076777593,1.35092538388796,1.41562297241501,1.41387165187338,1.35092538388796,227.619123285961,0.395223724302598,0.0836863509277302,97.9931274647725,0.340669628228361,163.387706771315
"149",11603,2014,9,8,17,37,129,7203,5511,1422,0.765097876,0.197417743,46.7836257309941,52.6315789473684,100,0.111063292193639,0.124946203717844,0.236009495911483,0.145161582987062,0.632866886998101,0.236009495911483,246.103354102188,0.0690486125259855,0.0467403816095849,61.3328103776182,0.128975582429002,34.938223172685
"150",11603,2015,6,11,17,37,129,7664,5772,1560,0.753131524,0.203549061,64.327485380117,35.0877192982456,100,0.143526310982372,0.0782870787176577,0.22181338970003,0.190571888913913,0.384590731363374,0.22181338970003,261.85424209901,0.0648968303157868,0.0341840326977069,44.7147091898553,0.14172827458953,45.5056406565542
"151",11603,2016,1,5,6,37,129,7499,5601,1517,0.746899587,0.202293639,81.9672131147541,16.3934426229508,100,0.0666746676267819,0.0133349335253564,0.0800096011521382,0.089268179464748,0.0659152330103487,0.0800096011521382,256.216722533987,0.0234085390164288,0.00554030681854701,9.47505299296956,0.118405483336254,22.8931981176593
"152",11603,2017,5,11,16,37,129,7708,5723,1627,0.74247535,0.211079398,68.3229813664596,31.055900621118,100,0.142707022482843,0.0648668284012921,0.207573850884135,0.192203526061051,0.30729518775736,0.207573850884135,263.357580649683,0.0607308393273187,0.0297100824746485,38.5475045933861,0.141374038617373,45.5724238737922
"153",11603,2018,9,4,13,37,129,7781,5952,1493,0.764940239,0.191877651,30.5343511450382,68.7022900763359,100,0.0514066134608217,0.115664880286849,0.167071493747671,0.0672031719897179,0.602772754671489,0.167071493747671,265.85175597239,0.048881045934322,0.0490739496387534,60.3727212018561,0.11564710894156,18.5488227485767
"154",11605,2010,86,98,184,37,129,5228,4046,893,0.773909717,0.170811018,53.2319391634981,46.713742531233,100,1.87448595091907,1.6449570589698,3.51944300988887,2.42208546501569,9.62938080842011,3.51944300988887,178.623953248124,1.02952064709844,0.280490494818676,226.024043099904,0.360595303080749,212.768127127035
"155",11605,2011,91,147,241,37,129,4916,3292,1312,0.669650122,0.266883645,60.9705516383243,37.7436748237246,100,2.99017513882956,1.85106080022782,4.90225992148248,4.4652349564108,6.93544699336941,4.90225992148248,167.963916252444,1.43397824693077,0.436041611279423,169.762940199365,0.418049157437582,283.756855675828
"156",11605,2012,79,155,236,37,129,4981,3407,1209,0.683999197,0.242722345,65.6501482422702,33.4603981363829,100,3.11176246210676,1.58599506133183,4.7379092971432,4.54932347157407,6.5337854602597,4.7379092971432,170.184757293211,1.38591382899665,0.348826058249364,176.014735659818,0.44707271616708,283.326138225219
"157",11605,2013,94,164,260,37,129,5130,3493,1158,0.680896686,0.225730994,63.0526720492118,36.1399461745482,100,3.19681877546247,1.83232295666751,5.06812732695269,4.69497008387965,8.11674294102409,5.06812732695269,175.275608294353,1.48253227759936,0.397551616041509,188.925122478464,0.476494609632616,284.477941787717
"158",11605,2014,63,111,174,37,129,5060,3743,822,0.73972332,0.162450593,63.7564618035612,36.1860999425617,100,2.19363253690639,1.24503468310903,3.43866722001541,2.96545643984932,7.66330130154482,3.43866722001541,172.883933327374,1.00587376326276,0.189140618837408,217.887062195944,0.373060137438299,234.642471887578
"159",11605,2015,90,162,255,37,129,5044,3962,797,0.785487708,0.158009516,63.5045080360643,35.2802822422579,100,3.21167304375409,1.7842628020856,5.05541127257588,4.08874081926251,11.290929619872,5.05541127257588,172.337264763493,1.47879868281225,0.26198409521834,248.629708290675,0.521836682626783,260.518564642527
"160",11605,2016,88,115,207,37,129,5382,4139,881,0.769044965,0.163693794,55.5287300820859,42.4915499758571,100,2.13671243566638,1.63504951598818,3.84608238419948,2.77838177381556,9.98751560549313,3.84608238419948,183.885638175479,1.12508781692281,0.283157116688627,229.67079604452,0.412829467385514,224.24608434903
"161",11605,2017,121,133,257,37,129,5115,3904,926,0.763245357,0.181036168,51.7308440295605,47.0633994554648,100,2.60014466970343,2.36554515063244,5.02433970010361,3.40667503393868,13.0655436777886,5.02433970010361,174.763106515715,1.46972111568259,0.409225664427805,237.615675038615,0.441252993754011,245.726123522276
"162",11605,2018,65,103,169,37,129,5603,4176,1346,0.74531501,0.240228449,60.9107037256062,38.4387936132466,100,1.83826810158662,1.16007210294301,3.01618746765184,2.4664160340988,4.8287645791546,3.01618746765184,191.436497714086,0.882338363794628,0.31952900636016,154.935651682207,0.382691018297635,213.387024194613
"163",11606,2010,11,15,26,37,129,4020,3335,470,0.82960199,0.116915423,57.4712643678161,42.1455938697318,100,0.373125046640631,0.273625034203129,0.64675008084376,0.449761626338041,2.33992767496277,0.64675008084376,137.350476675107,0.189159038432849,0.01888437188675,92.5268799037662,0.132877895846212,64.4114373564493
"164",11606,2011,8,24,33,37,129,4047,3341,549,0.82554979,0.135656042,72.5075528700906,24.1691842900302,100,0.593017222208495,0.197672407402832,0.815398680536681,0.718326299721649,1.45692952103442,0.815398680536681,138.272979876656,0.238485866456123,0.0160420933310351,68.9405005576578,0.15269927153574,94.9745515851463
"165",11606,2012,7,28,35,37,129,4201,3559,463,0.847179243,0.110211854,79.7720797720798,19.9430199430199,100,0.666492109209493,0.166623027302373,0.833115136511866,0.786715742743952,1.51155258043619,0.833115136511866,143.534664804011,0.243673768082081,0.0118383841629977,62.5903177374051,0.165494090831361,105.463740877703
"166",11606,2013,8,14,22,37,129,4285,3582,600,0.835939323,0.140023337,63.3484162895928,36.1990950226244,100,0.326713495601036,0.186693426057735,0.513406921658771,0.390832193406103,1.33311114814198,0.513406921658771,146.404674764387,0.150165856723556,0.0175320710397999,68.0665279631715,0.13295866690554,60.0964977434245
"167",11606,2014,4,18,23,37,129,4498,3843,509,0.854379724,0.113161405,77.9220779220779,17.3160173160173,100,0.400168960227652,0.0889264356061448,0.511327004735333,0.468371887278499,0.785700255352583,0.511327004735333,153.682200021053,0.149562172974839,0.00743674168168817,37.2312110120682,0.145462999559801,73.3308076259157
"168",11606,2015,13,33,46,37,129,4786,4016,629,0.839114083,0.13142499,71.5835140997831,28.1995661605206,100,0.689496667432774,0.271619899291699,0.961116566724473,0.821692686935086,2.06644412652996,0.961116566724473,163.522234170911,0.281135386233333,0.0298663840578228,100.102887243028,0.187100842108944,114.942191592311
"169",11606,2016,2,13,15,37,129,4809,4084,595,0.849241006,0.123726346,86.0927152317881,13.2450331125828,100,0.270320850055104,0.0415878230854006,0.311908673140504,0.318307583066037,0.336077970089061,0.311908673140504,164.30807023149,0.0912363972089671,0.00434649869846065,19.1669104852246,0.134893426234729,55.3442478505511
"170",11606,2017,7,12,19,37,129,5044,4180,671,0.828707375,0.133029342,62.82722513089,36.6492146596859,100,0.237901706944747,0.138775995717769,0.376677702662517,0.287074471902586,1.04306362688124,0.376677702662517,172.337264763493,0.110184999895815,0.0171555595158449,59.7496186175721,0.132966421978771,51.5095690532324
"171",11606,2018,9,11,20,37,129,5114,4278,628,0.83652718,0.122800156,54.726368159204,44.7761194029851,100,0.215091609471852,0.175984044113334,0.391075653585186,0.2571234893995,1.43289285145677,0.391075653585186,174.728939730472,0.114397536419504,0.0206438602693062,74.5997349546826,0.130927692091521,47.6339580600862
"172",11607,2010,0,3,3,37,129,10451,8353,882,0.79925366,0.084393838,96.7741935483871,0,100,0.028705112380515,0,0.028705112380515,0.0359148100705127,0,0.028705112380515,357.077072570036,0.00839919533024269,0,0,0.116469212424994,13.8587837336891
"173",11607,2011,0,6,6,37,129,10451,8518,924,0.815041623,0.088412592,98.3606557377049,0,100,0.0574102247610299,0,0.0574102247610299,0.0704382432702128,0,0.0574102247610299,357.077072570036,0.0167983906604854,0,0,0.133589062349869,25.6861341864253
